smiles,bsse
[H]c1c([H])c(C(=O)C2([H])C(=O)Oc3c([H])c([H])c(C([H])([H])[H])c([H])c3C2([H])[H])c([H])c([H])c1OC(C(=O)OC([H])([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.158725
[H]c1c([H])c(C(=O)c2c([H])c3c([H])c(C([H])([H])[H])c([H])c([H])c3oc2=O)c([H])c([H])c1OC(C(=O)OC([H])([H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],-0.257066
[H]c1c([H])c(Cl)c2c(c1[H])C(=O)c1c([H])c([H])c([H])c(Cl)c1C2([H])[H],-0.127217
[H]c1c(Cl)c([H])c(Cl)c(OC([H])([H])c2nnn(C([H])([H])c3c([H])c([H])c(Br)c([H])c3[H])c2[H])c1Cl,-0.056552
[H]c1c(N([H])[H])c([H])c2c(c1C([H])([H])[H])O[C@](C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H],-0.029853
[H]c1c(N([H])[H])c([H])c2c(N([H])[H])nc(N([H])[H])nc2c1[H],-0.069841
[H]c1nc([H])c([H])c(C(=O)N([H])N([H])[H])c1[H],-0.069679
[H]c1nc(N2N=C(C([H])([H])[H])C([H])([H])C2=O)c([H])c([H])c1[H],0.000048
[H]N=c1sc(SC([H])([H])C([H])([H])[H])nn1C([H])([H])C([H])([H])SS(=O)(=O)O[H],-0.023128
[H]O[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[C@]([H])(N([H])[H])C([H])([H])N([H])[H],0.011193
[H]O[C@](C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])/C([H])=C(\C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H],0.006822
[H]OC([H])([H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12,-0.007605
[H]OC([H])([H])n1c2c([H])c([H])c([H])c([H])c2c2c([H])c([H])c([H])c([H])c21,-0.073872
[H]OC(=O)/C([H])=C([H])/C([H])=C(\[H])c1c([H])c([H])c(O[H])c(O[H])c1[H],-0.148727
[H]OC(=O)/C([H])=C([H])/C([H])=C(\[H])c1c([H])c([H])c(O[H])c(OC([H])([H])[H])c1[H],-0.142379
[H]OC(=O)/C([H])=C(\[H])c1c([H])c([H])c(O[H])c(O[H])c1[H],-0.091366
[H]OC(=O)/C([H])=C(\[H])c1c([H])c([H])c(O[H])c(OC([H])([H])[H])c1[H],-0.107504
[H]OC(=O)/C([H])=C(\[H])c1c([H])c(O[H])c(O[H])c(O[H])c1[H],-0.10914
[H]OC(=O)/C(=N\N([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])C(=O)C([H])([H])[H],-0.147822
